Built-in,Description
inout vec3 **TANGENT**,"Tangent that comes from the ``vertex()`` function, in view space. If ``skip_vertex_transform`` is enabled, it may not be in view space."
inout vec3 **BINORMAL**,"Binormal that comes from the ``vertex()`` function, in view space. If ``skip_vertex_transform`` is enabled, it may not be in view space."
out vec3 **NORMAL_MAP**,Set normal here if reading normal from a texture instead of ``NORMAL``.
out float **NORMAL_MAP_DEPTH**,Depth from ``NORMAL_MAP``. Defaults to ``1.0``.
out vec3 **ALBEDO**,Albedo (default white). Base color.
out float **ALPHA**,"Alpha (range ``[0.0, 1.0]``). If read from or written to, the material will go to the transparent pipeline."
out float **ALPHA_SCISSOR_THRESHOLD**,"If written to, values below a certain amount of alpha are discarded."
out float **ALPHA_HASH_SCALE**,Alpha hash scale when using the alpha hash transparency mode. Defaults to ``1.0``. Higher values result in more visible pixels in the dithering pattern.
out float **ALPHA_ANTIALIASING_EDGE**,The threshold below which alpha to coverage antialiasing should be used. Defaults to ``0.0``. Requires the ``alpha_to_coverage`` render mode. Should be set to a value lower than ``ALPHA_SCISSOR_THRESHOLD`` to be effective.
out vec2 **ALPHA_TEXTURE_COORDINATE**,The texture coordinate to use for alpha-to-coverge antialiasing. Requires the ``alpha_to_coverage`` render mode. Typically set to ``UV * vec2(albedo_texture_size)`` where ``albedo_texture_size`` is the size of the albedo texture in pixels.
out float **PREMUL_ALPHA_FACTOR**,Premultiplied alpha factor. Only effective if ``render_mode blend_premul_alpha;`` is used. This should be written to when using a *shaded* material with premultiplied alpha blending for interaction with lighting. This is not required for unshaded materials.
out float **METALLIC**,"Metallic (range ``[0.0, 1.0]``)."
out float **SPECULAR**,Specular (not physically accurate to change). Defaults to ``0.5``. ``0.0`` disables reflections.
out float **ROUGHNESS**,"Roughness (range ``[0.0, 1.0]``)."
out float **RIM**,"Rim (range ``[0.0, 1.0]``). If used, Godot calculates rim lighting. Rim size depends on ``ROUGHNESS``."
out float **RIM_TINT**,"Rim Tint, range from ``0.0`` (white) to ``1.0`` (albedo). If used, Godot calculates rim lighting."
out float **CLEARCOAT**,"Small specular blob added on top of the existing one. If used, Godot calculates clearcoat."
out float **CLEARCOAT_GLOSS**,"Gloss of clearcoat. If used, Godot calculates clearcoat."
out float **ANISOTROPY**,For distorting the specular blob according to tangent space.
out vec2 **ANISOTROPY_FLOW**,"Distortion direction, use with flowmaps."
out float **SSS_STRENGTH**,"Strength of subsurface scattering. If used, subsurface scattering will be applied to the object."
out vec4 **SSS_TRANSMITTANCE_COLOR**,"Color of subsurface scattering transmittance. If used, subsurface scattering transmittance will be applied to the object."
out float **SSS_TRANSMITTANCE_DEPTH**,Depth of subsurface scattering transmittance. Higher values allow the effect to reach deeper into the object.
out float **SSS_TRANSMITTANCE_BOOST**,Boosts the subsurface scattering transmittance if set above ``0.0``. This makes the effect show up even on directly lit surfaces
inout vec3 **BACKLIGHT**,"Color of backlighting (works like direct light, but it's received even if the normal is slightly facing away from the light). If used, backlighting will be applied to the object. Can be used as a cheaper approximation of subsurface scattering."
out float **AO**,Strength of ambient occlusion. For use with pre-baked AO.
out float **AO_LIGHT_AFFECT**,"How much ambient occlusion affects direct light (range ``[0.0, 1.0]``, default ``0.0``)."
out vec3 **EMISSION**,"Emission color (can go over ``(1.0, 1.0, 1.0)`` for HDR)."
out vec4 **FOG**,"If written to, blends final pixel color with ``FOG.rgb`` based on ``FOG.a``."
out vec4 **RADIANCE**,"If written to, blends environment map radiance with ``RADIANCE.rgb`` based on ``RADIANCE.a``."
out vec4 **IRRADIANCE**,"If written to, blends environment map irradiance with ``IRRADIANCE.rgb`` based on ``IRRADIANCE.a``."
